opcion,score
dinero 5000,5000
opcion,score
cosas,bicicleta
opcion,score
dinero 5000,5000
opcion,score
dinero Mitad,2
opcion,score
dinero 5000,5000
opcion,score
bote,bote x2
opcion,score
cosas,bicicleta
opcion,score
bote,bote
opcion,score
bote,bote x2
opcion,score
dinero 100,100
opcion,score
cosas,nevera
opcion,score
x2,2
opcion,score
x2,2
opcion,score
cosas,coche
opcion,score
pierdes,1
opcion,score
cosas,moto
opcion,score
bote,bote
opcion,score
cosas,coche
opcion,score
carcel,1000
opcion,score
dinero 100,100
opcion,score
dinero Mitad,2
opcion,score
pierdes,1
opcion,score
x2,2
opcion,score
dinero 5000,5000
opcion,score
dinero 200,200
opcion,score
dinero 500,500
opcion,score
dinero 500,500
opcion,score
bote,bote
opcion,score
dinero 5000,5000
opcion,score
cosas,nevera
opcion,score
saltar,saltar
opcion,score
cosas,bicicleta
opcion,score
saltar,saltar
opcion,score
dinero 500,500
opcion,score
dinero 1000,1000
opcion,score
saltar,saltar
opcion,score
dinero 100,100
opcion,score
cosas,bicicleta
opcion,score
bote,bote
opcion,score
cosas,coche
opcion,score
dinero 5000,5000
opcion,score
bote,bote x2
opcion,score
dinero 200,200
opcion,score
dinero 200,200
opcion,score
dinero 100,100
opcion,score
cosas,ordenador
opcion,score
dinero 200,200
opcion,score
cosas,moto
opcion,score
cosas,ordenador
opcion,score
cosas,moto
opcion,score
x2,2
opcion,score
carcel,1000
opcion,score
cosas,ordenador
opcion,score
dinero 200,200
opcion,score
pierdes,1
opcion,score
cosas,nevera
opcion,score
cosas,moto
opcion,score
bote,bote x2
opcion,score
cosas,ordenador
opcion,score
carcel,1000
opcion,score
x2,2
opcion,score
pierdes,1
opcion,score
cosas,coche
opcion,score
dinero 100,100
opcion,score
bote,bote x2
opcion,score
pierdes,1
opcion,score
cosas,nevera
opcion,score
dinero 200,200
opcion,score
cosas,ordenador
opcion,score
dinero 100,100
opcion,score
dinero 100,100
opcion,score
saltar,saltar
opcion,score
pierdes,1
opcion,score
cosas,coche
opcion,score
cosas,nevera
opcion,score
dinero 1000,1000
